"";"ApplicationNumber";"Mark";"MarkCurrentStatusCode";"ApplicationDate";"ExpiryDate";"DEPOSANT";"DEPOTIT";"MarkFeature";"url";"search";"FranceX";"depo";"titulaire"
"1";"5053501";"france mineraux";"Demande publiée";20240509;20340509;"kevalex";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5053501";"France";"France X";"kevalex NA";"Autre"
"2";"5052699";"france cordyceps";"Demande publiée";20240505;20340505;"maximilien carlier";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5052699";"France";"France X";"maximilien carlier NA";"Autre"
"3";"5050281";"france agri nature";"Demande publiée";20240425;20340425;"hknp";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5050281";"France";"France X";"hknp NA";"Autre"
"4";"5050137";"france vols vos droits aeriens, notre exigence";"Demande publiée";20240425;20340425;"rudy marechaux,mathias lebon,eddy jerpan";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5050137";"France";"France X";"rudy marechaux,mathias lebon,eddy jerpan NA";"Autre"
"5";"5048984";"france outdoor";"Demande publiée";20240420;20340420;"elisa ciria,gilbert ysern";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5048984";"France";"France X";"elisa ciria,gilbert ysern NA";"Autre"
"6";"5048982";"france outdoor sports events";"Demande publiée";20240420;20340420;"elisa ciria,gilbert ysern";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5048982";"France";"France X";"elisa ciria,gilbert ysern NA";"Autre"
"7";"5044400";"france cordages";"Demande publiée";20240403;20340403;"lucas potoczny";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5044400";"France";"France X";"lucas potoczny NA";"Autre"
"8";"5043910";"france clusters";"Demande publiée";20240402;20340402;"cdif";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5043910";"France";"France X";"cdif NA";"Autre"
"9";"5041747";"france retrofit";"Demande publiée";20240325;20340325;"flex fuel-energy development";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5041747";"France";"France X";"flex fuel-energy development NA";"Autre"
"10";"5041075";"france athlé";"Demande publiée";20240322;20340322;"fédération française d athlétisme";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5041075";"France";"France X";"fédération française d athlétisme NA";"Autre"
"11";"5041076";"france athletisme";"Demande publiée";20240322;20340322;"fédération française d athlétisme";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5041076";"France";"France X";"fédération française d athlétisme NA";"Autre"
"12";"5040501";"france foncier +";"Demande publiée";20240320;20340320;"caisse des depots et consignations,cerema centre d&apos;études et d&apos;expertise sur les risques,";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5040501";"France";"France X";"caisse des depots et consignations,cerema centre d&apos;études et d&apos;expertise sur les risques, NA";"Autre"
"13";"5038253";"france hottes";"Demande publiée";20240313;20340313;"fabrice alexandre";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5038253";"France";"France X";"fabrice alexandre NA";"Autre"
"14";"5037809";"france photographie";"Demande publiée";20240311;20340311;"arvia";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5037809";"France";"France X";"arvia NA";"Autre"
"15";"5035942";"france audit energetique";"Demande publiée";20240305;20340305;"france audit energetique";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5035942";"France";"France X";"france audit energetique NA";"Autre"
"16";"5035856";"france info punaises";"Demande publiée";20240305;20340305;"milouda latreche";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5035856";"France";"France X";"milouda latreche NA";"Autre"
"17";"5034818";"france nation sportive ";"Demande publiée";20240301;20340301;"eric marinier";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5034818";"France";"France X";"eric marinier NA";"Autre"
"18";"5034833";"france territoires d&apos;influence ecole media & production";"Demande publiée";20240301;20340301;"sarah maleck,sarah maleck";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5034833";"France";"France X";"sarah maleck,sarah maleck NA";"Autre"
"19";"5034225";"france cartomancie ";"Demande publiée";20240228;20340228;"bruno soriano";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5034225";"France";"France X";"bruno soriano NA";"Autre"
"20";"5033858";"france fudosan";"Demande publiée";20240227;20340227;"alexandre demauras";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5033858";"France";"France X";"alexandre demauras NA";"Autre"
"21";"5032922";"france debarras";"Demande publiée";20240223;20340223;"la ronde des services";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5032922";"France";"France X";"la ronde des services NA";"Autre"
"22";"5032629";"france-gravures";"Demande publiée";20240222;20340222;"nicolas ferrari";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5032629";"France";"France X";"nicolas ferrari NA";"Autre"
"23";"5032413";"france bois construction";"Demande publiée";20240221;20340221;"uicb";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5032413";"France";"France X";"uicb NA";"Autre"
"24";"5032428";"france bois construction entreprises";"Demande publiée";20240221;20340221;"uicb";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5032428";"France";"France X";"uicb NA";"Autre"
"25";"5031698";"france xenon";"Demande publiée";20240219;20340219;"france xenon";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5031698";"France";"France X";"france xenon NA";"Autre"
"26";"5029482";"france gaz ensemble l&apos;énergie";"Demande publiée";20240212;20340212;"association francaise du gaz";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5029482";"France";"France X";"association francaise du gaz NA";"Autre"
"27";"5028567";"france alzheimer & maladies apparentees";"Demande publiée";20240208;20340208;"france alzheimer et maladies apparentées";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5028567";"France";"France X";"france alzheimer et maladies apparentées NA";"Autre"
"28";"5027991";"france confiserie";"Demande publiée";20240206;20340206;"france confiserie";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5027991";"France";"France X";"france confiserie NA";"Autre"
"29";"5027333";"france cbd";"Demande publiée";20240205;20340205;"charlène geneviève nicole capuozzo";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5027333";"France";"France X";"charlène geneviève nicole capuozzo NA";"Autre"
"30";"5026852";"france news tv";"Marque ayant fait l&apos;objet d&apos;un retrait total";20240202;20340202;"robert lafont participations";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5026852";"France";"France X";"robert lafont participations NA";"Autre"
"31";"5026924";"france batterie par les nouveaux systèmes energétiques";"Demande publiée";20240202;20340202;"industries des nouveaux systemes energetiques";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5026924";"France";"France X";"industries des nouveaux systemes energetiques NA";"Autre"
"32";"5026215";"france business forum ";"Demande publiée";20240201;20340201;"financiere 75";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5026215";"France";"France X";"financiere 75 NA";"Autre"
"33";"5025916";"france bains";"Demande publiée";20240131;20340131;"afisb";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5025916";"France";"France X";"afisb NA";"Autre"
"34";"5020067";"france mug";"Demande publiée";20240110;20340110;"pizzipub le point com";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5020067";"France";"France X";"pizzipub le point com NA";"Autre"
"35";"5019775";"france salle de bains";"Demande publiée";20240109;20340109;"sgsb";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5019775";"France";"France X";"sgsb NA";"Autre"
"36";"5020017";"france lerveilles & traditions";"Demande publiée";20240109;20340109;"pierre rosset pierre,pierre-alek beddiar  pierre-alek";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5020017";"France";"France X";"pierre rosset pierre,pierre-alek beddiar  pierre-alek NA";"Autre"
"37";"5019484";"france rugby voyages";"Marque enregistrée";20240108;20340108;"couleur sas";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5019484";"France";"France X";"couleur sas NA";"Autre"
"38";"5019489";"france rugby voyage";"Marque enregistrée";20240108;20340108;"couleur sas";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5019489";"France";"France X";"couleur sas NA";"Autre"
"39";"5018207";"france uniformes";"Marque enregistrée";20240102;20340102;"paul baudinet";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5018207";"France";"France X";"paul baudinet NA";"Autre"
"40";"5018223";"france uniformes";"Demande publiée";20240102;20340102;"paul baudinet paul";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5018223";"France";"France X";"paul baudinet paul NA";"Autre"
"41";"5015093";"france touristic";"Demande publiée";20231218;20331218;"vincent augereau vincent,mobile developpement";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5015093";"France";"France X";"vincent augereau vincent,mobile developpement NA";"Autre"
"42";"5014555";"france libre television (flt)";"Demande publiée";20231215;20331215;"ffl sa";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5014555";"France";"France X";"ffl sa NA";"Autre"
"43";"5014179";"france botaniques";"Demande publiée";20231214;20331214;"france botanique services";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5014179";"France";"France X";"france botanique services NA";"Autre"
"44";"5014122";"france coproduction";"Marque enregistrée";20231214;20331214;"nicolas pascal philippe deschamps";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5014122";"France";"France X";"nicolas pascal philippe deschamps NA";"Autre"
"45";"5014019";"france by locals";"Marque enregistrée";20231213;20331213;"so provence, so alps";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5014019";"France";"France X";"so provence, so alps NA";"Autre"
"46";"5013585";"france attelage";"Demande publiée";20231212;20331212;"sas france-attelage";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5013585";"France";"France X";"sas france-attelage NA";"Autre"
"47";"5013228";"france travail";"Marque enregistrée";20231211;20331211;"pole emploi";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5013228";"France";"France X";"pole emploi NA";"Autre"
"48";"5012630";"france libre";"Marque enregistrée";20231208;20331208;"françois pierre paul rocher";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5012630";"France";"France X";"françois pierre paul rocher NA";"Autre"
"49";"5012820";"france multi travaux";"Demande publiée";20231208;20331208;"jessie cohen ";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5012820";"France";"France X";"jessie cohen  NA";"Autre"
"50";"5011477";"france mobilité biogaz";"Marque enregistrée";20231204;20331204;"association francaise du gaz naturel  pour vehicules - a.f.g.n.v";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5011477";"France";"France X";"association francaise du gaz naturel  pour vehicules - a.f.g.n.v NA";"Autre"
"51";"5010398";"france pay";"Marque enregistrée";20231129;20331129;"fabien ferasson,laurent  dominati ";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5010398";"France";"France X";"fabien ferasson,laurent  dominati  NA";"Autre"
"52";"5010273";"france traitements nuisibles et humidité";"Demande publiée";20231129;20331129;"france traitements";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5010273";"France";"France X";"france traitements NA";"Autre"
"53";"5008652";"france erp";"Marque enregistrée";20231123;20331123;"avi teboul";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5008652";"France";"France X";"avi teboul NA";"Autre"
"54";"5008635";"france clim";"Marque enregistrée";20231123;20331123;"france clim";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5008635";"France";"France X";"france clim NA";"Autre"
"55";"5008844";"france gabions";"Demande publiée";20231123;20331123;"clement dubreuil clement";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5008844";"France";"France X";"clement dubreuil clement NA";"Autre"
"56";"5008846";"france tampon";"Demande publiée";20231123;20331123;"empreinte océane";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5008846";"France";"France X";"empreinte océane NA";"Autre"
"57";"5007910";"france pontoons";"Marque enregistrée";20231121;20331121;"sébastien martin";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5007910";"France";"France X";"sébastien martin NA";"Autre"
"58";"5007702";"france lewy body";"Demande publiée";20231120;20331120;"a2mcl - association des aidants et malades à corps de lewy";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5007702";"France";"France X";"a2mcl - association des aidants et malades à corps de lewy NA";"Autre"
"59";"5007568";"france robotique";"Demande publiée";20231120;20331120;"gicat";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5007568";"France";"France X";"gicat NA";"Autre"
"60";"5007692";"france: terre d&apos;expériences";"Demande publiée";20231120;20331120;"morgane production";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5007692";"France";"France X";"morgane production NA";"Autre"
"61";"5006702";"france aikido";"Marque enregistrée";20231116;20331116;"michel gillet";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5006702";"France";"France X";"michel gillet NA";"Autre"
"62";"5006945";"france terrain";"Marque enregistrée";20231116;20331116;"régine guerin";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5006945";"France";"France X";"régine guerin NA";"Autre"
"63";"5006401";"france apiculteur";"Marque enregistrée";20231115;20331115;"bye nuisibles";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5006401";"France";"France X";"bye nuisibles NA";"Autre"
"64";"5006032";"france fap";"Marque enregistrée";20231114;20331114;"marie christine fontaine ep michon,laurent michon";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5006032";"France";"France X";"marie christine fontaine ep michon,laurent michon NA";"Autre"
"65";"5005514";"france accompagnateur";"Demande publiée";20231112;20331112;"vincent zippelli vincent";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5005514";"France";"France X";"vincent zippelli vincent NA";"Autre"
"66";"5004938";"france auto services";"Demande publiée";20231109;20331109;"azize ouahba azize";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5004938";"France";"France X";"azize ouahba azize NA";"Autre"
"67";"5004361";"france braseros.com";"Marque enregistrée";20231107;20331107;"france diffusion";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5004361";"France";"France X";"france diffusion NA";"Autre"
"68";"5003045";"france japon consulting";"Demande publiée";20231102;20331102;"france japon consulting";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5003045";"France";"France X";"france japon consulting NA";"Autre"
"69";"5001695";"france.tvaccess";"Marque enregistrée";20231026;20331026;"france.tv studio";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5001695";"France";"France X";"france.tv studio NA";"Autre"
"70";"5001693";"france.tvstudio";"Marque enregistrée";20231026;20331026;"france.tv studio";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5001693";"France";"France X";"france.tv studio NA";"Autre"
"71";"5000365";"france posters";"Marque enregistrée";20231021;20331021;"nicolas philippe bernard francis touchais";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5000365";"France";"France X";"nicolas philippe bernard francis touchais NA";"Autre"
"72";"4999469";"france-relecture";"Demande publiée";20231018;20331018;"france-relecture, monsieur";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4999469";"France";"France X";"france-relecture, monsieur NA";"Autre"
"73";"4998770";"france health tech transfer";"Marque enregistrée";20231016;20331016;"france biotech";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4998770";"France";"France X";"france biotech NA";"Autre"
"74";"4998728";"france concept vgp";"Marque enregistrée";20231016;20331016;"mathieu plessis";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4998728";"France";"France X";"mathieu plessis NA";"Autre"
"75";"4998096";"france premiers secours";"Marque enregistrée";20231012;20331012;"france premiers secours 276";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4998096";"France";"France X";"france premiers secours 276 NA";"Autre"
"76";"4998092";"france premiers secours ( fps)";"Marque enregistrée";20231012;20331012;"france premiers secours 276";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4998092";"France";"France X";"france premiers secours 276 NA";"Autre"
"77";"4998095";"france premiers secours";"Marque enregistrée";20231012;20331012;"france premiers secours 276";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4998095";"France";"France X";"france premiers secours 276 NA";"Autre"
"78";"4997816";"france.tv publicité international insights";"Marque enregistrée";20231012;20331012;"france televisions publicite";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4997816";"France";"France X";"france televisions publicite NA";"Autre"
"79";"4996990";"france led";"Marque enregistrée";20231009;20331009;"france led sas";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4996990";"France";"France X";"france led sas NA";"Autre"
"80";"4994857";"france ledcar";"Marque enregistrée";20231002;20331002;"new tuning ";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4994857";"France";"France X";"new tuning  NA";"Autre"
"81";"4994262";"france chaudronnerie f";"Marque enregistrée";20230928;20330928;"syndicat nat chaudron tolerie tuyauterie";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4994262";"France";"France X";"syndicat nat chaudron tolerie tuyauterie NA";"Autre"
"82";"4992213";"france offshore renewables the inter-cluster alliance";"Marque enregistrée";20230920;20330920;"bretagne développement innovation";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4992213";"France";"France X";"bretagne développement innovation NA";"Autre"
"83";"4991389";"france etude habitat";"Marque enregistrée";20230918;20330918;"cédric bonnin";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4991389";"France";"France X";"cédric bonnin NA";"Autre"
