"";"ApplicationNumber";"Mark";"MarkCurrentStatusCode";"ApplicationDate";"ExpiryDate";"DEPOSANT";"DEPOTIT";"MarkFeature";"url";"search";"FranceX";"depo";"titulaire"
"1";"5049895";"équipe de france de la gastronomie";"Demande publiée";20240424;20340424;"etat francais représenté par la préfète de région auvergne-rhône-alpes";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR5049895";"France;EtatFrançais";"[de|en|la] France";"etat francais représenté par la préfète de région auvergne-rhône-alpes NA";"Etat Français"
"2";"4965496";"france vae";"Marque enregistrée";20230531;20330531;"etat français, représenté par le ministre du travail, du plein emploi et de l&apos;insertion - délégation générale à l&apos;emploi et à la formation professionnelle (dgefp)";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4965496";"France;EtatFrançais";"France X";"etat français, représenté par le ministre du travail, du plein emploi et de l&apos;insertion - délégation générale à l&apos;emploi et à la formation professionnelle (dgefp) NA";"Etat Français"
"3";"4937978";"grand site de france bibracte - morvan des sommets";"Marque enregistrée";20230216;20330216;"bibracte etablissement public de cooperation culturelle";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4937978";"France;EtablissementPublic";"[de|en|la] France";"bibracte etablissement public de cooperation culturelle NA";"Etablissement public"
"4";"4920621";"france nation verte agir.mobiliser.accélérer";"Marque enregistrée";20221212;20321212;"etat français, représenté par le premier ministre - secrétariat général à la planification écologique (sgpe)";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4920621";"France;EtatFrançais";"France X";"etat français, représenté par le premier ministre - secrétariat général à la planification écologique (sgpe) NA";"Etat Français"
"5";"4916861";"france 2030";"Marque enregistrée";20221128;20321128;"etat français représenté par le premier ministre - service d&apos;information du gouvernement (sig)";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4916861";"France;EtatFrançais";"France X";"etat français représenté par le premier ministre - service d&apos;information du gouvernement (sig) NA";"Etat Français"
"6";"4798705";"france rénov&apos;";"Marque enregistrée";20210910;20310910;"etat français représenté par le ministre de la transition écologique";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4798705";"France;EtatFrançais";"France X";"etat français représenté par le ministre de la transition écologique NA";"Etat Français"
"7";"4733300";"france sesame";"Marque enregistrée";20210216;20310216;"etat français représenté par le ministre de l&apos;economie, des finances et de la relance - dgddi";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4733300";"France;EtatFrançais";"France X";"etat français représenté par le ministre de l&apos;economie, des finances et de la relance - dgddi NA";"Etat Français"
"8";"4709604";"france transfert";"Marque enregistrée";20201207;20301207;"etat français représenté par le premier ministre";NA;"Figurative";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4709604";"France;EtatFrançais";"France X";"etat français représenté par le premier ministre NA";"Etat Français"
"9";"4593219";"france identité numérique";"Marque enregistrée";20191023;20291023;"etat français représenté par le ministre de l&apos;intérieur";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4593219";"France;EtatFrançais";"France X";"etat français représenté par le ministre de l&apos;intérieur NA";"Etat Français"
"10";"4581205";"experience france";"Marque enregistrée";20190912;20290912;"etat français représenté par le premier ministre - service d&apos;information du gouvernement (sig)";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR4581205";"France;EtatFrançais";"X France";"etat français représenté par le premier ministre - service d&apos;information du gouvernement (sig) NA";"Etat Français"
